id,Processo,Nome,Indicador,Variáveis,OBS,USUÁRIO CHAVE
1,Gerir entregas,Qualidade na entrega,"feedbacks ""conforme""/notas emitidas","Considerar apenas pedidos com o campo ""Conforme"" preenchido, ignorando pedidos conferidos, pedidos mãe e brindes.",para cada CD separado,EDSON
2,Gerir entregas,Custo entrega,custo frete/valores de notas da OC,"Incluir valor de frete detalhado para cada ordem de carga, considerando tanto o pedido quanto a nota fiscal associada.",para cada CD separado,EDSON
3,Gerir entregas,Tempo de entrega,diferença entre data de entrega prevista e data de entrega efetiva,"Calcular a média de entrega entre datas específicas, detalhando cada transação envolvida.",para cada CD separado,EDSON
4,Gerir entregas,Custo do CD,centro de custo / faturamento,"Basear-se no indicador de inovação para trazer o custo correspondente, alterando a lógica para trazer também os CR das filiais. O componente Custos com Inovação",para cada CD separado,EDSON
5,Industria,Qualidade de formulação,litros conformes/litros totais,"Considerar o campo ""Qualidade das Telas"" nas ORDENS DE PRODUÇÃO e OPERAÇÕES DE PRODUÇÃO. Este campo deve ser obrigatório para facilitar a análise no DASH PRODUÇÃO.","campo qualidade na tela operações de produção, obrigatoriedade de colocar a qualidade antes de fecha finalizar o op. Lanlamento de laudos atualizar o campo qualidade das telas odens de produção e operações de produção.",EDSON
6,Industria,Qualidade no envase,litros conformes/litros totais,Considerar o campo Qualidade das telas ORDENS DE PRODUÇÃO e OPERAÇÕES DE PRODUÇÃO(facilitador para os dados DASH PRODUÇÃO),,EDSON
7,Industria,Planejamento,volume realizado/planejado,Buscar o volume realizado / planejado do Dash Produção,"feito, mudar a apresentação (INDICADOR GESTÃO DE PRODUÇÃO)",EDSON
8,Industria,Ocupação produção,Volume produzido (formulação + envase)/horas disponiveis,"Calcular o tempo gasto desde o início até a finalização da OP, considerando dias úteis e jornada de trabalho.",,EDSON
9,Manutenção,Manutenções,manutenções preventivas/totais,"Calcular o percentual de manutenção preventiva em relação ao total de ordens no período, levando em consideração o campo TIPO OM e incluindo também o custo dessas ordens a partir da aba NOTAS.","usar ""tipo"" classificação",HALEF
10,Manutenção,Planejado,planejado de manutenção preventiva/realizado ,Trazer a quantidade de manutenções preventivas planejadas para o periodo selecionado  e quantas realizadas ,Para o mês,HALEF
11,Segurança,,controle de EPI,aguardar,Sugestão ter indicador e o movimento direto no dash caso não for usar portal de mov interna,EDSON